id,text,question_code_type,tags,class
30486890,the connect done prior calling method public string execute command string host string command string path exception cd path system println ssh executing command command host session channel client session ssh open session channel session start shell session get output stream write sudo get bytes session get output stream write command get bytes session get output stream write exit get bytes iostream connector output iostream connector java io byte array output stream bos java io byte array output stream output connect session get input stream bos string output bos string system println output output session close disconnect output,function,"['java', 'linux', 'j2ssh']",ssh
59603213,main string args tunnel tunnel tunnel tunnel go exception print stack trace public go exception string host ssh pythonanywhere com string user username string password password port tunnel local port string tunnel remote host username mysql pythonanywhere services com tunnel remote port jsch jsch jsch session session jsch get session user host port local user info lui local user info session set password password session set user info lui session connect session set port forwarding tunnel local port tunnel remote host tunnel remote port system println connecting class local user info user info string passwd override string get passphrase null override string get password null override prompt password string false override prompt passphrase string false override prompt yes no string false override show message string,function,"['java', 'ssh', 'jsch', 'pythonanywhere', 'ssh-tunnel']",ssh
49349001,jsch jsch jsch properties config properties config put strict host key checking config put preferred authentications password session session jsch get session robot com session set config config session set password a1234 session connect,code_block,"['java', 'ssh', 'sftp', 'jsch', 'vfs']",ssh
47014651,jsch jsch jsch java util properties config java util properties config put strict host key checking session jsch get session billing user billing host session set password billing password session set config config session connect channel session open channel exec channel exec channel set command command channel set input stream null channel exec channel set err stream system input stream input stream channel get input stream input stream err stream channel get ext input stream channel connect input stream available saving output input stream close err stream close channel closed channel get exit status printing exit status value,code_block,"['java', 'shell', 'ssh', 'jsch', 'exit-code']",ssh
36990242,lport string rhost host string host host rport string user root string password pass string dbuser name root string dbpassword pass string url jdbc mysql localhost lport lg4 string driver name com mysql cj jdbc driver connection conn null session session null set strict host key checking property avoid unknown host key issue java util properties config java util properties config put strict host key checking jsch jsch jsch session jsch get session user host session set password password session set config config session connect system println connected assinged port session set port forwarding lport rhost rport system println localhost assinged port rhost rport system println port forwarded mysql database connectivity class name driver name new instance conn driver manager get connection url dbuser name dbpassword system println database connection established system println done exception print stack trace conn null conn closed system println closing database connection conn close session null session connected system println closing ssh connection session disconnect,code_block,"['java', 'mysql', 'sockets', 'jdbc', 'ssh']",ssh
31372599,main activity activity string user username string pass password string host hostname port num string sftpworkingdir path file string file name create bundle saved instance state create saved instance state set content view layout activity main list view list list view find view by id id choose sound list view async task void void list string override list string in background void params execute remote command user pass host port num exception print stack trace null override post execute list string sound names array adapter string adapter array adapter string main activity android layout simple expandable list item android id text1 sound names list set adapter adapter list set on item click listener adapter view on item click listener override item click adapter view arg0 view arg1 position arg3 string new file name string list get item at position position file name new file name downloader file name show alert toast make text get application context downloaded file name toast length long show execute list string execute remote command string username string password string hostname port exception list string sound names array list string jsch jsch jsch session session jsch get session username hostname port session set password password avoid asking key confirmation properties prop properties prop put strict host key checking session set config prop session connect string command ls la awk print channel channel session open channel exec channel exec channel set command command channel exec channel set err stream system err input stream channel get input stream system println connect session channel connect string buffer buffer string buffer this recommended way read output tmp true available read tmp buffer append string tmp channel closed system println exit status channel get exit status thread sleep exception ee channel disconnect session disconnect scanner scanner scanner buffer string scanner next line string line scanner next line sound names add line log ssh line sound names downloader string file name jsch jsch jsch session session null channel channel null channel sftp sftp channel null session jsch get session user host port num session set config strict host key checking session set password pass session connect channel session open channel sftp channel connect sftp channel channel sftp channel sftp channel cd sftpworkingdir cd dir contains file buffer buffered input stream bis buffered input stream sftp channel get file name file path environment get external storage public directory environment directory documents file new file file path file name log dir new file output stream os file output stream new file buffered output stream bos buffered output stream os read count read count bis read buffer log downloading file name bos write buffer read count bis close bos close file not found exception print stack trace ioexception print stack trace log success file name downloaded sftp channel exit session disconnect jsch exception print stack trace sftp exception print stack trace override create options menu menu menu inflate menu adds items action bar present get menu inflater inflate menu menu main menu true,class,"['java', 'android', 'sftp', 'jsch']",ssh
45170144,string process sshcommand string host port string user string password string command jsch exception ioexception session session jsch get session user host port session set password password properties config properties config put strict host key checking session set config config session connect channel exec channel channel exec session open channel exec channel set command command channel connect string ioutils string channel get input stream utf channel disconnect session disconnect,function,"['java', 'multithreading', 'ssh', 'jsch', 'thread-dump']",ssh
36748665,main string args exception jsch jsch jsch string user xxxxx string host xxxxx string passwd xxxxx port session session jsch get session user host port session set password passwd session set config strict host key checking session set config preferred authentications publickey keyboard interactive password session connect channel channel session open channel shell output stream ops channel get output stream print stream ps print stream ops true channel connect commands ps println sudo su user ps println ls wc ps println pwd ps println exit ps close channel disconnect session disconnect,function,"['java', 'ssh', 'jsch']",ssh
56223602,string username biogas public string host public string password client og58 public string target file home biogas ies data txt public port public string download exception jsch jsch jsch session session null string no data session jsch get session username host port session set config strict host key checking session set password password session connect channel channel session open channel sftp channel connect channel sftp sftp channel channel sftp channel sftp channel get target file string sftp channel exit session disconnect jsch exception print stack trace sftp exception print stack trace,code_block,"['java', 'ssh', 'stream', 'sftp', 'jsch']",ssh
16465063,package1 import java io buffered input stream import java io buffered output stream import java io file import java io file output stream import java io output stream import com jcraft jsch channel import com jcraft jsch channel sftp import com jcraft jsch jsch import com jcraft jsch session public sftppullsshkeys public sftppullsshkeys public main string args string sftphost ip sftpport string sftpuser username string passphrase passphrase string sftpworkingdir remote directory string prikeyfile open ssh key ppk session session null channel channel null channel sftp channel sftp null try jsch jsch jsch jsch add identity prikeyfile passphrase session jsch get session sftpuser sftphost sftpport session set config strict host key checking session connect channel session open channel sftp channel connect channel sftp channel sftp channel channel sftp cd sftpworkingdir buffer buffered input stream bis buffered input stream channel sftp get file csv file new file file file csv output stream os file output stream new file buffered output stream bos buffered output stream os read count read count bis read buffer system println writing files disk bos write buffer read count bis close bos close exception ex ex print stack trace,class,"['java', 'file', 'sftp', 'jsch']",ssh
28102504,transactional public student entity add student student entity student entity student dao save student entity,function,"['java', 'spring', 'ssh', 'transactions']",ssh
34818662,org grep4j core grep4j constant expression import org grep4j core grep4j grep import org grep4j core fluent dictionary import org grep4j core fluent dictionary options import org grep4j core fluent dictionary import org grep4j core model profile import org grep4j core model profile builder import org grep4j core result grep results public grep searcher profile remote profile null grep searcher request call method initialize ssh connection grep searcher string username string password string servername string search string remote profile profile builder new builder name dev logs file path log filepath remotehost servername credentials username password build grep results get search results grep constant expression search query remote profile options,class,"['java', 'ssh', 'grep', 'remote-server']",ssh
53403744,sshj exception sshclient ssh sshclient ssh add host key verifier public key true ssh connect host session session null ssh auth password username password session ssh start session session command cmd session exec command system println ioutils read fully cmd get input stream string cmd join time unit seconds system println exit status cmd get exit status exception print stack trace session null session close ssh disconnect,function,"['java', 'ssh', 'jsch', 'sshj']",ssh
31143365,android os async task android os bundle java io data input stream java io data output stream java util array list java util properties android view menu android view view android widget adapter view android widget array adapter com jcraft jsch channel com jcraft jsch jsch com jcraft jsch session android app activity android util log android widget list view android widget toast main activity activity string user root username string pass password password string host hostname hostname port num replace port number override create bundle saved instance state create saved instance state set content view layout activity main async task integer void void override void in background integer params execute remote command user pass host port num exception print stack trace null execute string execute remote command string username string password string hostname port exception declare list array list view list list view find view by id id choose sound list view array list string sound names array list string jsch jsch jsch session session jsch get session username hostname port session set password password avoid asking key confirmation properties prop properties prop put strict host key checking session set config prop session connect channel channel session open channel shell channel connect data input stream data in data input stream channel get input stream data output stream data out data output stream channel get output stream send ls command server data out write bytes ls data out flush print response string line data in read line string line loop add log string values array line data in read line line log ssh line add array sound names add line array adapter string adapter array adapter string android layout simple expandable list item android id text1 sound names list set adapter adapter list set on item click listener adapter view on item click listener override item click adapter view arg0 view arg1 position arg3 show alert toast make text get application context alert toast length long show data in close data out close channel disconnect session disconnect override create options menu menu menu inflate menu adds items action bar present get menu inflater inflate menu menu main menu true,class,"['java', 'android', 'listview', 'ssh', 'jsch']",ssh
26150128,test package import java io file import java io ioexception import java io print writer import java util iterator import java util list import javax servlet servlet exception import javax servlet annotation web servlet import javax servlet http http servlet import javax servlet http http servlet request import javax servlet http http servlet response import org apache commons fileupload file item import org apache commons fileupload file upload exception import org apache commons fileupload disk disk file item factory import org apache commons fileupload servlet servlet file upload public upload file http servlet serial version uid 1l string data directory data max memory size max request size post http servlet request request http servlet response response servlet exception ioexception multipart servlet file upload multipart content request multipart disk file item factory factory disk file item factory factory set size threshold max memory size factory set repository file system get property java io tmpdir string upload folder get servlet context get real path file separator data directory servlet file upload upload servlet file upload factory error upload set size max max request size list items upload parse request request iterator iter items iterator iter next file item item file item iter next item form field string file name file item get name get name string file path upload folder file separator file name file uploaded file file file path item write uploaded file get servlet context get request dispatcher http localhost test app done html forward request response file upload exception ex servlet exception ex exception ex servlet exception ex,class,"['java', 'eclipse', 'tomcat', 'servlets']",ssh
42077116,com name app prynsofpi import android os async task import android os bundle import android support v7 app app compat activity import com jcraft jsch channel exec import com jcraft jsch jsch import com jcraft jsch session import java io byte array output stream import java util properties public main activity app compat activity override create bundle saved instance state create saved instance state set content view layout activity main async task integer void void override void in background integer params execute remote command pi green1 exception print stack trace null execute string execute remote command string usrname string passwd string hostname port exception jsch jsch jsch session session jsch get session usrname hostname session set password passwd properties prop properties prop put strict host key checking session set config prop session connect channel exec channelssh channel exec session open channel exec byte array output stream baos byte array output stream channelssh set output stream baos channelssh set command ls channelssh connect channelssh disconnect baos string,class,"['java', 'android', 'ssh', 'raspberry-pi', 'jsch']",ssh
29777976,com dmotorworks cdk import java io buffered reader import java io data input stream import java io data output stream import java io ioexception import java io input stream reader import net sf expectit import net sf expectit matcher matchers import com jcraft jsch channel import com jcraft jsch jsch import com jcraft jsch jsch exception import com jcraft jsch session public shell client login to pablo server ioexception jsch exception string hostname pablo dmotorworks com string username gaikwasu string password nexus string end line str jsch jsch jsch session session jsch get session username hostname session set password password jsch set known hosts users gaikwasu ssh known hosts session connect system println connected channel channel session open channel shell channel connect expect expect expect builder output channel get output stream inputs channel get input stream channel get ext input stream echo output system echo input system err exception on failure build expect expect matchers contains bash expect send devpush expect expect matchers contains sudo password expect send password data input stream data in data input stream channel get input stream data output stream data out data output stream channel get output stream buffered reader buffer reader buffered reader input stream reader data in data out write bytes cd custom data out write bytes ls lrt data out flush string line buffer reader read line line ends with end line str system println line channel disconnect session disconnect expect close main string args shell client shell client shell client shell client login to pablo server ioexception todo auto generated block print stack trace jsch exception todo auto generated block print stack trace,class,"['java', 'shell', 'ssh', 'expect']",ssh
