id,text,question_code_type,tags,class
11206197,sftp get file string server string user name string password string remote dir string local dir string file name regex file local dir file file local dir file system manager fs manager null local dir file exists local dir file mkdirs fs manager vfs get manager file system exception ex logger error failed get fs manager vfs ex runtime exception failed get fs manager vfs ex user authenticator auth static user authenticator null user name password file system options opts file system options default file system config builder get instance set user authenticator opts auth file system exception ex logger error set user authenticator failed ex runtime exception set user authenticator failed ex pattern file pattern pattern compile file name regex string start path sftp server remote dir file object children set starting path remote sftp server file object sftp file sftp file fs manager resolve file start path opts logger info sftp connection successfully established start path file system exception ex logger error sftp error parsing path remote dir ex runtime exception sftp error parsing path remote dir ex get directory listing children sftp file get children file system exception ex runtime exception error collecting directory listing start path ex search file object children string relative path file separator char get name get base name get type file type file system println examining remote file get name file pattern matcher get name get path matches logger info filename match skipping file relative path search string local url file local dir relative path string standard path local dir relative path system println standard local path standard path local file local file local file fs manager resolve file local url system println resolved local file name local file get name local file get parent exists local file get parent create folder system println retrieving file local file copy from all file selector system println ignoring non file get name file system exception ex runtime exception error getting file type get name ex file system fs null children length fs children get file system this works even src closed fs manager close file system fs,function,"['java', 'sftp']",sftp
42002947,session factory channel sftp ls entry build sftp session factory default sftp session factory session factory default sftp session factory session factory set host localhost session factory set user user session factory set allow unknown keys true session factory set password pass caching session factory channel sftp ls entry caching session factory caching session factory session factory caching session factory,function,"['java', 'spring', 'spring-boot', 'spring-integration-sftp']",sftp
54039215,write list user dto items exception user dto item items stax event item writer user dto stax writer get stax event item writer item stax writer write arrays list item private stax event item writer user dto get stax event item writer user dto user string key user get domain stax event item writer user dto writer writers get key writer null enter code writer stax event item writer url resource resource url resource file output dir key file name xml writer set resource resource writer set root tag name customer set jaxb2marshaller user marshaller jaxb2marshaller user marshaller set classes to be bound user dto writer set marshaller user marshaller writer set overwrite output boolean true writer open execution context malformed urlexception print stack trace writers put key writer writer,function,"['java', 'spring', 'spring-integration', 'spring-batch', 'spring-integration-sftp']",sftp
42626196,java io file import java io file input stream import java io file output stream import java text simple date format import java util date import java util zip zip entry import java util zip zip output stream public compress to zip main string args exception string pattern dd mmyyyy simple date format simple date format simple date format pattern string date simple date format format date system println date string source folder name users desktop back up files date file folder file users desktop back up file zip string output file name folder date zip folder exists folder mkdir system println folder exist system current time millis file output stream fos file output stream output file name zip output stream zos zip output stream fos level compression level zos set level system println begin compress folder source folder name output file name add folder zos source folder name source folder name zos close system println program ended successfully add folder zip output stream zos string folder name string base folder name exception file file folder name exists directory thank peter for pointing missing entry empty folder folder name equals ignore case base folder name string entry name folder name substring base folder name length folder name length file separator char system println adding folder entry entry name zip entry ze zip entry entry name zos put next entry ze file f2 list files f2 length add folder zos f2 get absolute path base folder name add file extract relative name entry purpose string entry name folder name substring base folder name length folder name length system print adding file entry entry name zip entry ze zip entry entry name zos put next entry ze file input stream file input stream folder name len buffer len read buffer zos write buffer len close zos close entry system println ok system println file directory found folder name,class,"['java', 'ftp', 'sftp', 'jsch', 'zipfile']",sftp
58730754,upload files form file form file files vo vo throws base exception logger logger log manager get logger saved false port ataconstants server port file storage vo fs vo null null form file get file name form file get file name trim equals ignore case null form file get file name form file get file name trim equals ignore case null form file get file name form file get file name trim equals ignore case fs vo sftpfile manager get file storage details sftpfile manager file category workorder jsch jsch jsch session session null session jsch get session fs vo get saccount name fs vo get sftphost name port java util properties config java util properties config put strict host key checking session set config config session set password fs vo get spassword session connect channel sftp sftp channel sftp session open channel sftp sftp connect sftp connected true form file length null form file null form file get file name form file get file name trim equals ignore case file count common dao get file count int value string actual file name form file get file name string destination storage file name sftpfile manager get storage file name vo get sfile category vo get entity id file count actual file name saved sftpfile manager upload file sftp fs vo get sfile path form file destination storage file name vo set actual file name actual file name vo set storage file name destination storage file name vo set storage id ataconstants storage id workorder saved common dao add files vo sftp exit sftp disconnect jsch exception logger error error uploading file base exception exception occured uploading file sftp exception logger error error uploading file base exception exception occured uploading file ioexception logger error error uploading file base exception exception occured uploading file,function,"['java', 'inputstream', 'sftp', 'struts', 'jsch']",sftp
36886156,configuration public sftp integration flow value report uploader reporting server remote directory private string remote directory value report uploader reporting server file encoding private string file encoding autowired qualifier cached sftp session factory private caching session factory ls entry cached sftp session factory bean public integration flow sftp outbound flow integration flows sftp channel handle sftp outbound adapter cached sftp session factory file exists mode replace charset charset name file encoding remote file separator remote directory remote directory file name expression headers get file name auto create directory true use temporary file name true temporary file suffix tranferring get bean name sftp channel public message channel get message channel direct channel,class,"['java', 'spring', 'spring-integration', 'spring-dsl', 'spring-integration-sftp']",sftp
31536395,jsch connection jsch session session connection get session user ip port session set password password session connect channel exec channel channel exec session open channel exec exec commands whit channel channel ch ch ssh session open channel sftp ch connect error channel sftp sftp channel sftp ch,code_block,"['java', 'exception', 'sftp', 'jsch']",sftp
31059236,file system options opts file system options sftp file system config builder get instance set strict host key checking opts sftp file system config builder get instance set user dir is root opts true sftp file system config builder get instance set timeout opts file system manager manager vfs get manager file object remote file manager resolve file sftp url opts file object file objects remote file get children system println date time total number files objects length file object file object file objects file object get name get base name starts with zzzz system println found one object get name get base name exception print stack trace,invalid,"['java', 'sftp', 'apache-commons-vfs']",sftp
29389249,sftp server starter ssh server sshd logger logger logger factory get logger sftp server starter start sshd ssh server set up default server sshd set port sshd set host localhost sshd set password authenticator my password authenticator sshd set publickey authenticator my publickey authenticator sshd set key pair provider simple generator host key provider sshd set subsystem factories arrays named factory command list sftp subsystem factory sshd set command factory scp command factory logger info starting sshd start logger info started ioexception todo auto generated block print stack trace logger info can start server,class,"['java', 'sftp', 'jsch', 'apache-mina']",sftp
44842194,request mapping value download attachment method request method post produces media type application octet stream value public download attachment request param value file name string file name request param value file path string file path request param value file id string file id http servlet response response locale locale exception input stream null file name empty file path empty file id empty string directory file path java util properties config java util properties config put strict host key checking jsch ssh jsch session session ssh get session sftp login sftp address session set config config session set password sftp password session connect logger info connection server established channel channel session open channel sftp channel connect channel sftp sftp channel sftp channel sftp cd directory sftp get file name channel disconnect session disconnect ioutils copy response get output stream close response get output stream close response flush buffer,function,"['java', 'angularjs', 'spring-mvc', 'sftp', 'jsch']",sftp
